Cnn, Other Id, Ty, Vmag,   RA(h), Dec(d), Name
  1, NGC  188, Oc,  8.1, 00 44.4, +85 20,
  2, NGC   40, Pl, 11.6, 00 13.0, +72 32, Bow Tie Nebula 
  3, NGC 4236, Sb,  9.7, 12 16.7, +69 28, 
  4, NGC 7023, Bn,  6.8, 21 01.8, +68 12, Iris Nebula 
  5,  IC  342, Sp,  9.2, 03 46.8, +68 06, 
  6, NGC 6543, Pl,  8.8, 17 58.6, +66 38, Cat's Eye Nebula 
  7, NGC 2403, Sp,  8.9, 07 36.9, +65 36, 
  8, NGC  559, Oc,  9.5, 01 29.5, +63 18, 
  9, LBN  529, Bn,  7.7, 22 56.8, +62 37, Cave Nebula 
 10, NGC  663, Oc,  7.1, 01 46.0, +61 15, 
 11, NGC 7635, Bn,  7.0, 23 20.7, +61 12, Bubble Nebula 
 12, NGC 6946, Sp,  9.7, 20 34.8, +60 09, 
 13, NGC  457, Oc,  6.4, 01 19.1, +58 20, Owl Nebula 
 14, NGC  869, Oc,  4.3, 02 20.0, +57 08, h & chi Persei 
 15, NGC 6826, Pl,  9.8, 19 44.8, +50 31, Blinking Planetary 
 16, NGC 7243, Oc,  6.4, 22 15.3, +49 53, 
 17, NGC  147, El,  9.3, 00 33.2, +48 30, 
 18, NGC  185, El,  9.2, 00 39.0, +48 20, 
 19,  IC 5146, Bn, 10.0, 21 53.5, +47 16, Cocoon Nebula 
 20, NGC 7000, Bn,  6.0, 20 58.8, +44 20, North America Nebula 
 21, NGC 4449, Ir,  9.4, 12 28.2, +44 06, 
 22, NGC 7662, Pl,  9.2, 23 25.9, +42 33, Blue Snowball 
 23, NGC  891, Sb,  9.9, 02 22.6, +42 21, 
 24, NGC 1275, Sx, 11.6, 03 19.8, +41 31, Perseus A 
 25, NGC 2419, Gc, 10.4, 07 38.1, +38 53, 
 26, NGC 4244, Sp, 10.6, 12 17.5, +37 49, 
 27, NGC 6888, Bn,  7.5, 20 12.0, +38 21, Crescent Nebula 
 28, NGC  752, Oc,  5.7, 01 57.8, +37 41, 
 29, NGC 5005, Sb,  9.8, 13 10.9, +37 03, 
 30, NGC 7331, Sb,  9.5, 22 37.1, +34 25, 
 31,  IC  405, Bn,  6.0, 05 16.2, +34 16, Flaming Star Nebula 
 32, NGC 4631, Sp,  9.3, 12 42.1, +32 32, Whale Galaxy 
 33, NGC 6992, Sn,     , 20 56.4, +31 43, East Veil Nebula 
 34, NGC 6960, Sn,     , 20 45.7, +30 43, West Veil Nebula 
 35, NGC 4889, El, 11.4, 13 00.1, +27 59, 
 36, NGC 4559, Sp,  9.8, 12 36.0, +27 58, 
 37, NGC 6885, Oc,  5.7, 20 12.0, +26 29, 
 38, NGC 4565, Sb,  9.6, 12 36.3, +25 59, Needle Galaxy 
 39, NGC 2392, Pl,  9.9, 07 29.2, +20 55, Eskimo or Clown Nebula 
 40, NGC 3626, Sb, 10.9, 11 20.1, +18 21, 
 41,  Cr   50, Oc,  1.0, 04 27.0, +16 00, Hyades 
 42, NGC 7006, Gc, 10.6, 21 01.5, +16 11, 
 43, NGC 7814, Sb, 10.5, 00 03.3, +16 09, 
 44, NGC 7479, Sb, 11.0, 23 04.9, +12 19, 
 45, NGC 5248, Sp, 10.2, 13 37.5, +08 53, 
 46, NGC 2261, Bn, 10.0, 06 39.2, +08 44, Hubble's Variable Nebula 
 47, NGC 6934, Gc,  8.9, 20 34.2, +07 24, 
 48, NGC 2775, Sp, 10.3, 09 10.3, +07 02, 
 49, NGC 2238, Bn,     , 06 32.3, +05 03, Rosette Nebula 
 50, NGC 2244, Oc,  4.8, 06 32.4, +04 52, 
 51,  IC 1613, Ir,  9.0, 01 04.8, +02 07, 
 52, NGC 4697, El,  9.3, 12 48.6, -05 48, 
 53, NGC 3115, El,  9.1, 10 05.2, -07 43, Spindle Galaxy 
 54, NGC 2506, Oc,  7.6, 08 00.2, -10 47, 
 55, NGC 7009, Pl,  8.3, 21 04.2, -11 22, Saturn Nebula 
 56, NGC  246, Pl,  8.0, 00 47.0, -11 53, 
 57, NGC 6822, Ir,  9.3, 19 44.9, -14 48, Barnard's Galaxy 
 58, NGC 2360, Oc,  7.2, 07 17.8, -15 37, 
 59, NGC 3242, Pl,  8.6, 10 24.8, -18 38, Ghost of Jupiter 
 60, NGC 4038, Sp, 11.3, 12 01.9, -18 52, Antennae Galaxies 
 61, NGC 4039, Sp, 13.0, 12 01.9, -18 53, Antennae Galaxies 
 62, NGC  247, Sp,  8.9, 00 47.1, -20 46, 
 63, NGC 7293, Pl,  6.5, 22 29.6, -20 48, Helix Nebula 
 64, NGC 2362, Oc,  4.1, 07 18.8, -24 57, 
 65, NGC  253, Sp,  7.1, 00 47.6, -25 17, Sculptor Galaxy 
 66, NGC 5694, Gc, 10.2, 14 39.6, -26 32, 
 67, NGC 1097, Sb,  9.2, 02 46.3, -30 17, 
 68, NGC 6729, Bn, 9.7, 19 01.9, -36 57, 
 69, NGC 6302, Pl, 12.8, 17 13.7, -37 06, Bug Nebula 
 70, NGC  300, Sp,  8.1, 00 54.9, -37 41, 
 71, NGC 2477, Oc,  5.8, 07 52.3, -38 33, 
 72, NGC   55, Sb,  8.2, 00 14.9, -39 11, 
 73, NGC 1851, Gc,  7.3, 05 14.1, -40 03, 
 74, NGC 3132, Pl,  8.2, 10 07.7, -40 26, Eight Burst Nebula 
 75, NGC 6124, Oc,  5.8, 16 25.6, -40 40, 
 76, NGC 6231, Oc,  2.6, 16 54.0, -41 48, 
 77, NGC 5128, Px,  7.0, 13 25.5, -43 01, Centaurus A 
 78, NGC 6541, Gc,  6.6, 18 08.0, -43 42, 
 79, NGC 3201, Gc,  6.7, 10 17.6, -46 25, 
 80, NGC 5139, Gc,  3.6, 13 26.8, -47 29, Omega Centauri 
 81, NGC 6352, Gc,  8.1, 17 25.5, -48 25, 
 82, NGC 6193, Oc,  5.2, 16 41.3, -48 46, 
 83, NGC 4945, Sp,  9.5, 13 05.4, -49 28, 
 84, NGC 5286, Gc,  7.6, 13 46.4, -51 22, 
 85,  IC 2391, Oc,  2.5, 08 40.2, -53 04, Omicron Vel Cluster 
 86, NGC 6397, Gc,  5.6, 17 40.7, -53 40, 
 87, NGC 1261, Gc,  8.4, 03 12.3, -55 13, 
 88, NGC 5823, Oc,  7.9, 15 05.7, -55 36, 
 89, NGC 6087, Oc,  5.4, 16 18.9, -57 54, S Norma Cluster 
 90, NGC 2867, Pl,  9.7, 09 21.4, -58 19, 
 91, NGC 3532, Oc,  3.0, 11 06.4, -58 40, 
 92, NGC 3372, Bn,  6.2, 10 43.8, -59 52, Eta Carinae Nebula 
 93, NGC 6752, Gc,  5.4, 19 10.9, -59 59, 
 94, NGC 4755, Oc,  4.2, 12 53.6, -60 20, Jewel Box 
 95, NGC 6025, Oc,  5.1, 16 03.7, -60 30, 
 96, NGC 2516, Oc,  3.8, 07 58.3, -60 52, 
 97, NGC 3766, Oc,  5.3, 11 36.1, -61 37, 
 98, NGC 4609, Oc,  6.9, 12 42.3, -62 58, 
 99,   	     , Dn, , 12 31 19, -63 44 36, Coalsack Nebula 
100,  IC 2944, Oc,  4.5, 11 36.6, -63 02, Lambda Centauri Nebula 
101, NGC 6744, Sb,  9.0, 19 09.8, -63 51, 
102,  IC 2602, Oc,  1.9, 10 43.2, -64 24, Theta Car Cluster 
103, NGC 2070, Bn,  1.0, 05 38.7, -69 06, Tarantula Nebula 
104, NGC  362, Gc,  6.6, 01 03.2, -70 51, 
105, NGC 4833, Gc,  7.3, 12 59.6, -70 53, 
106, NGC  104, Gc,  4.0, 00 24.1, -72 05, 47 Tucanae 
107, NGC 6101, Gc,  9.3, 16 25.8, -72 12,
108, NGC 4372, Gc,  7.8, 12 25.8, -72 40,
109, NGC 3195, Pl, 11.6, 10 09.5, -80 52,

	 

